,sex,Age,County,rate
0,Females,0,Alameda,0.07264264264264263
1,Females,0,Alpine,0.001201201201201209
2,Females,0,Amador,0.2726726726726727
3,Females,0,Butte,0.19264264264264266
4,Females,0,Calaveras,0.2992192192192192
5,Females,0,California,0.13474474474474474
6,Females,0,Colusa,0.09528528528528528
7,Females,0,Contra Costa,0.11510510510510515
8,Females,0,Del Norte,0.21912912912912916
9,Females,0,El Dorado,0.10801801801801804
10,Females,0,Fresno,0.16693693693693695
11,Females,0,Glenn,0.1024924924924925
12,Females,0,Humboldt,0.4665465465465466
13,Females,0,Imperial,0.16876876876876878
14,Females,0,Inyo,0.21774774774774774
15,Females,0,Kern,0.1884684684684685
16,Females,0,Kings,0.13051051051051052
17,Females,0,Lake,0.6124924924924925
18,Females,0,Lassen,0.43552552552552554
19,Females,0,Los Angeles,0.08180180180180181
20,Females,0,Madera,0.20027027027027033
21,Females,0,Marin,0.11954954954954956
22,Females,0,Mariposa,0.19129129129129127
23,Females,0,Mendocino,0.3412312312312312
24,Females,0,Merced,0.1628528528528528
25,Females,0,Modoc,0.4118918918918919
26,Females,0,Mono,0.0542942942942943
27,Females,0,Monterey,0.10939939939939941
28,Females,0,Napa,0.08651651651651654
29,Females,0,Nevada,0.16183183183183183
30,Females,0,Orange,0.2006906906906907
31,Females,0,Placer,0.08564564564564565
32,Females,0,Plumas,0.5297597597597596
33,Females,0,Riverside,0.1481381381381382
34,Females,0,Sacramento,0.12162162162162163
35,Females,0,San Benito,0.1461561561561562
36,Females,0,San Bernardino,0.07597597597597598
37,Females,0,San Diego,0.20357357357357356
38,Females,0,San Francisco,0.2671471471471472
39,Females,0,San Joaquin,0.2133933933933934
40,Females,0,San Luis Obispo,0.20525525525525523
41,Females,0,San Mateo,0.07867867867867867
42,Females,0,Santa Barbara,0.14507507507507506
43,Females,0,Santa Clara,0.07792792792792792
44,Females,0,Santa Cruz,0.29765765765765767
45,Females,0,Shasta,0.28867867867867875
46,Females,0,Sierra,0.2144444444444445
47,Females,0,Siskiyou,0.32936936936936945
48,Females,0,Solano,0.10471471471471472
49,Females,0,Sonoma,0.16414414414414422
50,Females,0,Stanislaus,0.09915915915915918
51,Females,0,Sutter,0.14009009009009016
52,Females,0,Tehama,0.06744744744744746
53,Females,0,Trinity,0.19966966966966973
54,Females,0,Tulare,0.08840840840840838
55,Females,0,Tuolumne,0.3907207207207208
57,Females,0,Ventura,0.2285285285285286
58,Females,0,Yolo,0.10813813813813815
59,Females,0,Yuba,0.11741741741741743
60,Females,1,Alameda,0.07264264264264263
61,Females,1,Alpine,0.001201201201201209
62,Females,1,Amador,0.2726726726726727
63,Females,1,Butte,0.19264264264264266
64,Females,1,Calaveras,0.2992192192192192
65,Females,1,California,0.13474474474474474
66,Females,1,Colusa,0.09528528528528528
67,Females,1,Contra Costa,0.11510510510510515
68,Females,1,Del Norte,0.21912912912912916
69,Females,1,El Dorado,0.10801801801801804
70,Females,1,Fresno,0.16693693693693695
71,Females,1,Glenn,0.1024924924924925
72,Females,1,Humboldt,0.4665465465465466
73,Females,1,Imperial,0.16876876876876878
74,Females,1,Inyo,0.21774774774774774
75,Females,1,Kern,0.1884684684684685
76,Females,1,Kings,0.13051051051051052
77,Females,1,Lake,0.6124924924924925
78,Females,1,Lassen,0.43552552552552554
79,Females,1,Los Angeles,0.08180180180180181
80,Females,1,Madera,0.20027027027027033
81,Females,1,Marin,0.11954954954954956
82,Females,1,Mariposa,0.19129129129129127
83,Females,1,Mendocino,0.3412312312312312
84,Females,1,Merced,0.1628528528528528
85,Females,1,Modoc,0.4118918918918919
86,Females,1,Mono,0.0542942942942943
87,Females,1,Monterey,0.10939939939939941
88,Females,1,Napa,0.08651651651651654
89,Females,1,Nevada,0.16183183183183183
90,Females,1,Orange,0.2006906906906907
91,Females,1,Placer,0.08564564564564565
92,Females,1,Plumas,0.5297597597597596
93,Females,1,Riverside,0.1481381381381382
94,Females,1,Sacramento,0.12162162162162163
95,Females,1,San Benito,0.1461561561561562
96,Females,1,San Bernardino,0.07597597597597598
97,Females,1,San Diego,0.20357357357357356
98,Females,1,San Francisco,0.2671471471471472
99,Females,1,San Joaquin,0.2133933933933934
100,Females,1,San Luis Obispo,0.20525525525525523
101,Females,1,San Mateo,0.07867867867867867
102,Females,1,Santa Barbara,0.14507507507507506
103,Females,1,Santa Clara,0.07792792792792792
104,Females,1,Santa Cruz,0.29765765765765767
105,Females,1,Shasta,0.28867867867867875
106,Females,1,Sierra,0.2144444444444445
107,Females,1,Siskiyou,0.32936936936936945
108,Females,1,Solano,0.10471471471471472
109,Females,1,Sonoma,0.16414414414414422
110,Females,1,Stanislaus,0.09915915915915918
111,Females,1,Sutter,0.14009009009009016
112,Females,1,Tehama,0.06744744744744746
113,Females,1,Trinity,0.19966966966966973
114,Females,1,Tulare,0.08840840840840838
115,Females,1,Tuolumne,0.3907207207207208
117,Females,1,Ventura,0.2285285285285286
118,Females,1,Yolo,0.10813813813813815
119,Females,1,Yuba,0.11741741741741743
120,Females,2,Alameda,0.07264264264264263
121,Females,2,Alpine,0.001201201201201209
122,Females,2,Amador,0.2726726726726727
123,Females,2,Butte,0.19264264264264266
124,Females,2,Calaveras,0.2992192192192192
125,Females,2,California,0.13474474474474474
126,Females,2,Colusa,0.09528528528528528
127,Females,2,Contra Costa,0.11510510510510515
128,Females,2,Del Norte,0.21912912912912916
129,Females,2,El Dorado,0.10801801801801804
130,Females,2,Fresno,0.16693693693693695
131,Females,2,Glenn,0.1024924924924925
132,Females,2,Humboldt,0.4665465465465466
133,Females,2,Imperial,0.16876876876876878
134,Females,2,Inyo,0.21774774774774774
135,Females,2,Kern,0.1884684684684685
136,Females,2,Kings,0.13051051051051052
137,Females,2,Lake,0.6124924924924925
138,Females,2,Lassen,0.43552552552552554
139,Females,2,Los Angeles,0.08180180180180181
140,Females,2,Madera,0.20027027027027033
141,Females,2,Marin,0.11954954954954956
142,Females,2,Mariposa,0.19129129129129127
143,Females,2,Mendocino,0.3412312312312312
144,Females,2,Merced,0.1628528528528528
145,Females,2,Modoc,0.4118918918918919
146,Females,2,Mono,0.0542942942942943
147,Females,2,Monterey,0.10939939939939941
148,Females,2,Napa,0.08651651651651654
149,Females,2,Nevada,0.16183183183183183
150,Females,2,Orange,0.2006906906906907
151,Females,2,Placer,0.08564564564564565
152,Females,2,Plumas,0.5297597597597596
153,Females,2,Riverside,0.1481381381381382
154,Females,2,Sacramento,0.12162162162162163
155,Females,2,San Benito,0.1461561561561562
156,Females,2,San Bernardino,0.07597597597597598
157,Females,2,San Diego,0.20357357357357356
158,Females,2,San Francisco,0.2671471471471472
159,Females,2,San Joaquin,0.2133933933933934
160,Females,2,San Luis Obispo,0.20525525525525523
161,Females,2,San Mateo,0.07867867867867867
162,Females,2,Santa Barbara,0.14507507507507506
163,Females,2,Santa Clara,0.07792792792792792
164,Females,2,Santa Cruz,0.29765765765765767
165,Females,2,Shasta,0.28867867867867875
166,Females,2,Sierra,0.2144444444444445
167,Females,2,Siskiyou,0.32936936936936945
168,Females,2,Solano,0.10471471471471472
